iter	Passed	Remaining
0	135	13412
1	138	6777
2	139	4519
3	141	3392
4	142	2714
5	144	2262
6	145	1938
7	147	1696
8	149	1510
9	150	1357
10	152	1232
11	153	1128
12	155	1039
13	157	964
14	158	898
15	160	840
16	161	788
17	163	743
18	164	702
19	166	664
20	167	630
21	169	599
22	170	571
23	172	545
24	173	521
25	175	498
26	176	478
27	178	459
28	180	441
29	181	424
30	183	407
31	184	392
32	186	377
33	187	364
34	189	351
35	190	338
36	192	327
37	193	316
38	195	305
39	196	295
40	198	285
41	199	276
42	201	267
43	202	258
44	204	249
45	206	242
46	207	234
47	209	226
48	210	219
49	212	212
50	213	205
51	215	198
52	216	192
53	218	185
54	219	179
55	221	173
56	223	168
57	224	162
58	226	157
59	227	151
60	229	146
61	230	141
62	232	136
63	233	131
64	235	126
65	237	122
66	238	117
67	240	113
68	241	108
69	243	104
70	244	99
71	246	95
72	247	91
73	249	87
74	250	83
75	252	79
76	253	75
77	255	72
78	256	68
79	258	64
80	259	60
81	261	57
82	263	53
83	264	50
84	266	47
85	267	43
86	269	40
87	270	36
88	272	33
89	273	30
90	275	27
91	277	24
92	278	20
93	280	17
94	281	14
95	283	11
96	284	8
97	286	5
98	288	2
99	289	0
